

loss 101.64403533935547:  85% 148634/174001 [15:27:35<2:37:52,  2.68it/s]
loss 68.79847717285156:  85% 148634/174001 [15:27:35<2:37:52,  2.68it/s] 
loss 68.79847717285156:  85% 148635/174001 [15:27:35<2:37:47,  2.68it/s]
loss 121.60737609863281:  85% 148635/174001 [15:27:36<2:37:47,  2.68it/s]
loss 121.60737609863281:  85% 148636/174001 [15:27:36<2:37:32,  2.68it/s]
loss 83.43932342529297:  85% 148636/174001 [15:27:36<2:37:32,  2.68it/s] 
loss 83.43932342529297:  85% 148637/174001 [15:27:36<2:38:39,  2.66it/s]
loss 159.13479614257812:  85% 148637/174001 [15:27:36<2:38:39,  2.66it/s]
loss 159.13479614257812:  85% 148638/174001 [15:27:36<2:38:18,  2.67it/s]
loss 122.91305541992188:  85% 148638/174001 [15:27:37<2:38:18,  2.67it/s]
loss 122.91305541992188:  85% 148639/174001 [15:27:37<2:38:25,  2.67it/s]
loss 87.49272155761719:  85% 148639/174001 [15:27:37<2:38:25,  2.67it/s] 
loss 87.49272155761719:  85% 148640/174001 [15:27:37<2:37:54,  2.68it/s]
loss 76.12853240966797:  85% 148640/174001 [15:27:38<2:37:54,  2.68it/s]
loss 76.12853240966797:  85% 148641/174001 [15:27:38<2:37:52,  2.68it/s]
loss 60.92406463623047:  85% 148641/174001 [15:27:38<2:37:52,  2.68it/s]
loss 60.92406463623047:  85% 148642/174001 [15:27:38<2:38:28,  2.67it/s]
loss 62.7910270690918:  85% 148642/174001 [15:27:38<2:38:28,  2.67it/s] 
loss 62.7910270690918:  85% 148643/174001 [15:27:38<2:38:10,  2.67it/s]
loss 72.04812622070312:  85% 148643/174001 [15:27:39<2:38:10,  2.67it/s]
loss 72.04812622070312:  85% 148644/174001 [15:27:39<2:37:49,  2.68it/s]
loss 59.902435302734375:  85% 148644/174001 [15:27:39<2:37:49,  2.68it/s]
loss 59.902435302734375:  85% 148645/174001 [15:27:39<2:37:50,  2.68it/s]
loss 85.0158462524414:  85% 148645/174001 [15:27:39<2:37:50,  2.68it/s]  
loss 85.0158462524414:  85% 148646/174001 [15:27:39<2:37:53,  2.68it/s]
loss 60.02231216430664:  85% 148646/174001 [15:27:40<2:37:53,  2.68it/s]
loss 60.02231216430664:  85% 148647/174001 [15:27:40<2:38:49,  2.66it/s]
loss 62.970191955566406:  85% 148647/174001 [15:27:40<2:38:49,  2.66it/s]
loss 62.970191955566406:  85% 148648/174001 [15:27:40<2:38:06,  2.67it/s]
loss 79.65968322753906:  85% 148648/174001 [15:27:41<2:38:06,  2.67it/s] 
loss 79.65968322753906:  85% 148649/174001 [15:27:41<2:38:01,  2.67it/s]
loss 106.94741821289062:  85% 148649/174001 [15:27:41<2:38:01,  2.67it/s]
loss 106.94741821289062:  85% 148650/174001 [15:27:41<2:37:55,  2.68it/s]
loss 103.64375305175781:  85% 148650/174001 [15:27:41<2:37:55,  2.68it/s]
loss 103.64375305175781:  85% 148651/174001 [15:27:41<2:38:05,  2.67it/s]
loss 51.77436065673828:  85% 148651/174001 [15:27:42<2:38:05,  2.67it/s] 
loss 51.77436065673828:  85% 148652/174001 [15:27:42<2:37:41,  2.68it/s]
loss 65.59481048583984:  85% 148652/174001 [15:27:42<2:37:41,  2.68it/s]
loss 65.59481048583984:  85% 148653/174001 [15:27:42<2:38:27,  2.67it/s]
loss 59.90391540527344:  85% 148653/174001 [15:27:42<2:38:27,  2.67it/s]
loss 59.90391540527344:  85% 148654/174001 [15:27:42<2:37:59,  2.67it/s]
loss 130.42822265625:  85% 148654/174001 [15:27:43<2:37:59,  2.67it/s]  
loss 130.42822265625:  85% 148655/174001 [15:27:43<2:37:50,  2.68it/s]
loss 88.6421890258789:  85% 148655/174001 [15:27:43<2:37:50,  2.68it/s]
loss 88.6421890258789:  85% 148656/174001 [15:27:43<2:37:33,  2.68it/s]
loss 95.33177185058594:  85% 148656/174001 [15:27:44<2:37:33,  2.68it/s]
loss 95.33177185058594:  85% 148657/174001 [15:27:44<2:37:51,  2.68it/s]
loss 51.88751983642578:  85% 148657/174001 [15:27:44<2:37:51,  2.68it/s]
loss 51.88751983642578:  85% 148658/174001 [15:27:44<2:38:34,  2.66it/s]
loss 92.09233856201172:  85% 148658/174001 [15:27:44<2:38:34,  2.66it/s]
loss 92.09233856201172:  85% 148659/174001 [15:27:44<2:38:04,  2.67it/s]
loss 124.14762115478516:  85% 148659/174001 [15:27:45<2:38:04,  2.67it/s]
loss 124.14762115478516:  85% 148660/174001 [15:27:45<2:37:45,  2.68it/s]
loss 89.01072692871094:  85% 148660/174001 [15:27:45<2:37:45,  2.68it/s] 
loss 89.01072692871094:  85% 148661/174001 [15:27:45<2:37:49,  2.68it/s]
loss 118.44871520996094:  85% 148661/174001 [15:27:45<2:37:49,  2.68it/s]
loss 118.44871520996094:  85% 148662/174001 [15:27:45<2:37:58,  2.67it/s]
loss 128.06082153320312:  85% 148662/174001 [15:27:46<2:37:58,  2.67it/s]
loss 128.06082153320312:  85% 148663/174001 [15:27:46<2:38:19,  2.67it/s]
loss 89.1539077758789:  85% 148663/174001 [15:27:46<2:38:19,  2.67it/s]  
loss 89.1539077758789:  85% 148664/174001 [15:27:46<2:37:50,  2.68it/s]
loss 133.15557861328125:  85% 148664/174001 [15:27:47<2:37:50,  2.68it/s]
loss 133.15557861328125:  85% 148665/174001 [15:27:47<2:38:21,  2.67it/s]
loss 67.95077514648438:  85% 148665/174001 [15:27:47<2:38:21,  2.67it/s] 
loss 67.95077514648438:  85% 148666/174001 [15:27:47<2:38:32,  2.66it/s]
loss 70.21074676513672:  85% 148666/174001 [15:27:47<2:38:32,  2.66it/s]
loss 70.21074676513672:  85% 148667/174001 [15:27:47<2:38:07,  2.67it/s]
loss 63.87825012207031:  85% 148667/174001 [15:27:48<2:38:07,  2.67it/s]
loss 63.87825012207031:  85% 148668/174001 [15:27:48<2:37:35,  2.68it/s]
loss 299.15911865234375:  85% 148668/174001 [15:27:48<2:37:35,  2.68it/s]
loss 299.15911865234375:  85% 148669/174001 [15:27:48<2:38:29,  2.66it/s]
loss 64.39432525634766:  85% 148669/174001 [15:27:48<2:38:29,  2.66it/s] 
loss 64.39432525634766:  85% 148670/174001 [15:27:48<2:38:18,  2.67it/s]
